  [2022-01-28 15:37:13,379], , [restartedMain], otp-manager-service, INFO  LoggingAspect profileAllMethods | Execution time of OtpManagerConfig.getRestTemplate :: 7 ms
  [2022-01-28 15:37:13,799], , [restartedMain], otp-manager-service, WARN  JpaBaseConfiguration$JpaWebConfiguration openEntityManagerInViewInterceptor | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
  [2022-01-28 15:37:14,734], , [restartedMain], otp-manager-service, INFO  ThreadPoolTaskExecutor initialize | Initializing ExecutorService 'applicationTaskExecutor'
  [2022-01-28 15:37:16,427], , [restartedMain], otp-manager-service, INFO  Http11NioProtocol log | Starting ProtocolHandler ["http-nio-7076"]
  [2022-01-28 15:37:16,456], , [restartedMain], otp-manager-service, INFO  TomcatWebServer start | Tomcat started on port(s): 7076 (http) with context path '/OTPManager'
  [2022-01-28 15:37:16,459], , [restartedMain], otp-manager-service, INFO  OtpManagerApplication logStarted | Started OtpManagerApplication in 30.341 seconds (JVM running for 32.252)
  [2022-01-28 16:42:05,414], , [Thread-1], otp-manager-service, INFO  ThreadPoolTaskExecutor shutdown | Shutting down ExecutorService 'applicationTaskExecutor'
  [2022-01-28 16:42:05,479], , [Thread-1], otp-manager-service, INFO  LocalContainerEntityManagerFactoryBean destroy | Closing JPA EntityManagerFactory for persistence unit 'default'
  [2022-01-28 16:42:05,655], , [Thread-1], otp-manager-service, INFO  HikariDataSource close | HikariPool-1 - Shutdown initiated...
  [2022-01-28 16:42:05,709], , [Thread-1], otp-manager-service, INFO  HikariDataSource close | HikariPool-1 - Shutdown completed.
  [2022-01-28 16:42:06,612], , [restartedMain], otp-manager-service, INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$c4317c49] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
  [2022-01-28 16:42:06,832], , [restartedMain], otp-manager-service, INFO  ConfigServicePropertySourceLocator getRemoteEnvironment | Fetching config from server at : http://localhost:8888/config
  [2022-01-28 16:42:10,343], , [restartedMain], otp-manager-service, INFO  ConfigServicePropertySourceLocator log | Located environment: name=otp-manager-service, profiles=[dev], label=null, version=null, state=null
  [2022-01-28 16:42:10,344], , [restartedMain], otp-manager-service, INFO  PropertySourceBootstrapConfiguration initialize | Located property source: CompositePropertySource {name='configService', propertySources=[MapPropertySource {name='file:///D:/git-localconfig-repo/application-dev.properties'}]}
  [2022-01-28 16:42:10,385], , [restartedMain], otp-manager-service, INFO  OtpManagerApplication logStartupProfileInfo | The following profiles are active: dev
  [2022-01-28 16:42:10,984], , [restartedMain], otp-manager-service, INFO  RepositoryConfigurationDelegate registerRepositoriesIn | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
  [2022-01-28 16:42:11,037], , [restartedMain], otp-manager-service, INFO  RepositoryConfigurationDelegate registerRepositoriesIn | Finished Spring Data repository scanning in 52ms. Found 5 JPA repository interfaces.
  [2022-01-28 16:42:11,270], , [restartedMain], otp-manager-service, INFO  GenericScope setSerializationId | BeanFactory id=9427c13f-05ea-3150-8ff5-03f3e3fb3c35
  [2022-01-28 16:42:11,364], , [restartedMain], otp-manager-service, INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization | Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
  [2022-01-28 16:42:11,409], , [restartedMain], otp-manager-service, INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$c4317c49] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
  [2022-01-28 16:42:11,850], , [restartedMain], otp-manager-service, WARN  Registry log | The MBean registry cannot be disabled because it has already been initialised
  [2022-01-28 16:42:11,910], , [restartedMain], otp-manager-service, INFO  TomcatWebServer initialize | Tomcat initialized with port(s): 7076 (http)
  [2022-01-28 16:42:11,912], , [restartedMain], otp-manager-service, INFO  Http11NioProtocol log | Initializing ProtocolHandler ["http-nio-7076"]
  [2022-01-28 16:42:11,912], , [restartedMain], otp-manager-service, INFO  StandardService log | Starting service [Tomcat]
  [2022-01-28 16:42:11,913], , [restartedMain], otp-manager-service, INFO  StandardEngine log | Starting Servlet engine: [Apache Tomcat/9.0.29]
  [2022-01-28 16:42:11,966], , [restartedMain], otp-manager-service, INFO  [/OTPManager] log | Initializing Spring embedded WebApplicationContext
  [2022-01-28 16:42:11,966], , [restartedMain], otp-manager-service, INFO  ContextLoader prepareWebApplicationContext | Root WebApplicationContext: initialization completed in 1573 ms
  [2022-01-28 16:42:12,419], , [restartedMain], otp-manager-service, INFO  LogHelper logPersistenceUnitInformation | HHH000204: Processing PersistenceUnitInfo [name: default]
  [2022-01-28 16:42:12,427], , [restartedMain], otp-manager-service, INFO  Dialect <init> | HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
  [2022-01-28 16:42:12,642], , [restartedMain], otp-manager-service, INFO  HikariDataSource getConnection | HikariPool-2 - Starting...
  [2022-01-28 16:42:13,578], , [restartedMain], otp-manager-service, INFO  HikariDataSource getConnection | HikariPool-2 - Start completed.
  [2022-01-28 16:42:24,365], , [restartedMain], otp-manager-service, INFO  JtaPlatformInitiator initiateService | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
  [2022-01-28 16:42:24,367], , [restartedMain], otp-manager-service, INFO  LocalContainerEntityManagerFactoryBean buildNativeEntityManagerFactory | Initialized JPA EntityManagerFactory for persistence unit 'default'
  [2022-01-28 16:42:24,600], , [restartedMain], otp-manager-service, WARN  OptionalLiveReloadServer startServer | Unable to start LiveReload server
  [2022-01-28 16:42:25,012], , [restartedMain], otp-manager-service, INFO  LoggingAspect profileAllMethods | Start of OtpManagerConfig.getRestTemplate
