  [2022-02-01 10:41:49,828], , [HikariPool-1 housekeeper], Booking-Appointment, WARN  HikariPool run | HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=58m19s28ms129µs800ns).
  [2022-02-01 10:42:19,087], , [scheduling-1], Booking-Appointment, WARN  SqlExceptionHelper logExceptions | SQL Error: 0, SQLState: 08001
  [2022-02-01 10:42:19,088], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | HikariPool-1 - Connection is not available, request timed out after 30013ms.
  [2022-02-01 10:42:19,089], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | The connection attempt failed.
  [2022-02-01 10:42:19,090], , [scheduling-1], Booking-Appointment, ERROR AppointmentServiceImpl sendNotificationBeforeAppointmentStart | Exception while getting appointments to send notifiaction before started
  [2022-02-01 10:42:19,099], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:42:19,100], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart :: 30033 ms
  [2022-02-01 10:42:19,101], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentController.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:42:19,103], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentController.sendNotificationBeforeAppointmentStart :: 30045 ms
  [2022-02-01 10:43:00,010], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentController.sendNotificationBeforeAppointmentStart
fbbf5c88db52035e fbbf5c88db52035e [2022-02-01 10:43:00,011], , [scheduling-1], Booking-Appointment, INFO  AppointmentController sendNotificationBeforeAppointmentStart | Request received to send Notification Before Appointment Start
  [2022-02-01 10:43:00,013], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:43:00,013], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentDtlsRepository.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:43:30,020], , [scheduling-1], Booking-Appointment, WARN  SqlExceptionHelper logExceptions | SQL Error: 0, SQLState: 08001
  [2022-02-01 10:43:30,022], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | HikariPool-1 - Connection is not available, request timed out after 30004ms.
  [2022-02-01 10:43:30,028], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | The connection attempt failed.
  [2022-02-01 10:43:30,033], , [scheduling-1], Booking-Appointment, ERROR AppointmentServiceImpl sendNotificationBeforeAppointmentStart | Exception while getting appointments to send notifiaction before started
  [2022-02-01 10:43:30,066], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:43:30,068], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart :: 30055 ms
  [2022-02-01 10:43:30,069], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentController.sendNotificationBeforeAppointmentStart
